
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. LedBlinkingDSpeed, 135, 192, 128, 0, 0, 0, 0, 2, 7
.	. ClkGenNoSwitch_0, 33, 48, 32, 0, 0, 0, 0, 0, 0
.	. ClkGenNoSwitch_1, 33, 47, 32, 0, 0, 0, 0, 0, 0
.	. ClkGen_0, 33, 47, 32, 0, 0, 0, 0, 0, 0
.	. ClkGen_1, 33, 47, 32, 0, 0, 0, 0, 0, 0
.	. Display, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. Reset_out, 1, 1, 0, 0, 0, 0, 0, 1, 0
